Genus,Species,Family,Illegally_Hunted?,2006_IUCN_threat,AdultBodyMass_grams,AgeFirstBirth_days,AgeSexualMaturity_days,GestationLength_days,InterBirthInterval_days,Group_size,GeographicRange_km2,HomeRange_km2,MaximumLongevity_months,PopulationDensity_km2,MeanHumanPopulationDensity_km2,2003GrossNationalIncome_US$,MatingSystem,Diet,HabitatBreadth
Phacochoerus,aethiopicus,Suidae,Yes,Not_Threatened,75600,730.00,541.98,165.41,365.00,2.00,851932,1.36,225.60,7.60,17.35,7058.41,NA,Generalist,4
Phacochoerus,africanus,Suidae,Yes,Not_Threatened,82500,NA,NA,172.50,NA,NA,11093471,1.58,180.00,NA,33.08,13165.51,Polygamous,Generalist,3
Potamochoerus,larvatus,Suidae,Yes,Not_Threatened,68600,NA,NA,121.74,NA,8.00,5892227,4.55,NA,0.40,40.25,13457.51,NA,Generalist,3
Potamochoerus,porcus,Suidae,Yes,Not_Threatened,70000,NA,969.55,120.00,365.00,10.56,5033217,NA,240.00,0.24,36.83,8561.57,NA,Generalist,3
Procapra,gutturosa,Bovidae,Yes,Not_Threatened,28100,NA,829.79,190.19,365.00,NA,322171,NA,84.00,NA,1.55,319066.40,Polygamous,Specialist,3
Procapra,picticaudata,Bovidae,Yes,Not_Threatened,23000,NA,NA,NA,NA,NA,1936511,NA,NA,NA,4.54,1566968.72,NA,NA,3
Procapra,przewalskii,Bovidae,No,NA,27500,NA,NA,NA,NA,NA,40688,NA,NA,NA,59.89,1574470.00,NA,NA,3
Pseudois,nayaur,Bovidae,Yes,Not_Threatened,51800,730.00,365.00,159.75,NA,NA,3101840,NA,288.00,2.51,19.16,1499745.97,NA,NA,3
Pseudois,schaeferi,Bovidae,No,NA,29300,NA,NA,NA,NA,NA,61144,NA,NA,NA,5.55,1574470.00,NA,NA,3
Pudu,mephistophiles,Cervidae,No,Not_Threatened,9600,NA,NA,NA,NA,NA,244304,NA,120.00,NA,30.32,54549.99,Monogamous,Specialist,3
